user_id,amount,location,label,explanation
5354,255.43,RareStoreX,ANOMALY,"This transaction occurred at an unusual location ('RareStoreX'), which is not typical for normal spending."
4094,219.44,StoreC,NORMAL,This transaction amount ($219.44) is typical for normal spending behavior.
3401,20.0,StoreB,NORMAL,This transaction amount ($20.0) is typical for normal spending behavior.
2868,138.54,StoreB,NORMAL,This transaction amount ($138.54) is typical for normal spending behavior.
3732,158.63,StoreB,NORMAL,This transaction amount ($158.63) falls within the typical range of spending.
1594,93.44,StoreB,NORMAL,This transaction amount ($93.44) is typical for normal spending behavior.
4447,263.14,OutlierMallY,ANOMALY,"This transaction occurred at an unusual location ('OutlierMallY'), which is not typical for normal spending."
1180,3.73,StoreA,ANOMALY,This transaction amount ($3.73) is extremely low and may indicate refund fraud or abnormal behavior.
2842,0.7,StoreB,ANOMALY,This transaction amount ($0.7) is extremely low and may indicate refund fraud or abnormal behavior.
7670,5396.79,StoreC,ANOMALY,This transaction amount ($5396.79) is unusually high compared to normal spending levels.
8557,136.26,StoreA,NORMAL,This transaction amount ($136.26) is typical for normal spending behavior.
6131,89.56,RareStoreX,ANOMALY,"This transaction occurred at an unusual location ('RareStoreX'), which is not typical for normal spending."
2653,199.63,StoreC,NORMAL,This transaction amount ($199.63) falls within the typical range of spending.
3801,212.44,StoreC,NORMAL,This transaction amount ($212.44) is typical for normal spending behavior.
1325,7759.43,StoreA,ANOMALY,This transaction amount ($7759.43) is unusually high compared to normal spending levels.
1242,222.06,StoreA,NORMAL,This transaction amount ($222.06) is typical for normal spending behavior.
4810,2.36,StoreB,ANOMALY,This transaction amount ($2.36) is extremely low and may indicate refund fraud or abnormal behavior.
7152,240.81,StoreA,NORMAL,This transaction amount ($240.81) is typical for normal spending behavior.
1873,176.5,StoreB,NORMAL,This transaction amount ($176.5) is typical for normal spending behavior.
8759,194.24,StoreA,NORMAL,This transaction amount ($194.24) is typical for normal spending behavior.
8902,111.99,StoreB,NORMAL,This transaction amount ($111.99) is typical for normal spending behavior.
5018,77.0,StoreB,NORMAL,This transaction amount ($77.0) is typical for normal spending behavior.
3383,109.13,StoreC,NORMAL,This transaction amount ($109.13) is typical for normal spending behavior.
1641,174.76,StoreA,NORMAL,This transaction amount ($174.76) is typical for normal spending behavior.
7829,4.29,StoreC,ANOMALY,This transaction amount ($4.29) is extremely low and may indicate refund fraud or abnormal behavior.
2386,302.7,StoreA,NORMAL,This transaction amount ($302.7) is typical for normal spending behavior.
5076,169.33,StoreB,NORMAL,This transaction amount ($169.33) is typical for normal spending behavior.
1660,149.1,StoreB,NORMAL,This transaction amount ($149.1) falls within the typical range of spending.
4281,170.37,StoreC,NORMAL,This transaction amount ($170.37) is typical for normal spending behavior.
9015,147.14,StoreB,NORMAL,This transaction amount ($147.14) is typical for normal spending behavior.
5953,250.34,StoreA,NORMAL,This transaction amount ($250.34) is typical for normal spending behavior.
3261,324.52,StoreB,NORMAL,This transaction amount ($324.52) is typical for normal spending behavior.
8765,3034.9,StoreB,ANOMALY,This transaction amount ($3034.9) is unusually high compared to normal spending levels.
4882,3769.5,StoreA,ANOMALY,This transaction amount ($3769.5) is unusually high compared to normal spending levels.
1329,107.16,StoreB,NORMAL,This transaction amount ($107.16) is typical for normal spending behavior.
5378,221.9,StoreA,NORMAL,This transaction amount ($221.9) is typical for normal spending behavior.
1521,111.58,StoreB,NORMAL,This transaction amount ($111.58) falls within the typical range of spending.
4758,213.84,StoreA,NORMAL,This transaction amount ($213.84) is typical for normal spending behavior.
4632,3.15,StoreB,ANOMALY,This transaction amount ($3.15) is extremely low and may indicate refund fraud or abnormal behavior.
1110,7860.35,StoreC,ANOMALY,This transaction amount ($7860.35) is unusually high compared to normal spending levels.
8960,167.98,StoreA,NORMAL,This transaction amount ($167.98) is typical for normal spending behavior.
6959,230.48,StoreC,NORMAL,This transaction amount ($230.48) is typical for normal spending behavior.
8311,179.93,StoreB,NORMAL,This transaction amount ($179.93) is typical for normal spending behavior.
6463,154.88,StoreA,NORMAL,This transaction amount ($154.88) is typical for normal spending behavior.
7073,7915.77,StoreA,ANOMALY,This transaction amount ($7915.77) is unusually high compared to normal spending levels.
5995,227.21,StoreA,NORMAL,This transaction amount ($227.21) is typical for normal spending behavior.
