user_id,amount,location,label,explanation
8982,106.18,StoreC,NORMAL,The amount $106.18 is typical for normal spending behavior.
5107,192.61,StoreC,NORMAL,The amount $192.61 is typical for normal spending behavior.
2341,159.8,StoreC,NORMAL,The amount $159.8 is typical for normal spending behavior.
9407,139.8,StoreA,NORMAL,The amount $139.8 is typical for normal spending behavior.
1338,73.4,StoreB,NORMAL,The amount $73.4 is typical for normal spending behavior.
6895,73.4,StoreA,NORMAL,The amount $73.4 is typical for normal spending behavior.
3708,58.71,StoreA,NORMAL,The amount $58.71 is typical for normal spending behavior.
2750,179.93,StoreA,NORMAL,The amount $179.93 is typical for normal spending behavior.
6604,140.17,StoreB,NORMAL,The amount $140.17 is typical for normal spending behavior.
3421,156.21,StoreC,NORMAL,The amount $156.21 is typical for normal spending behavior.
8119,53.09,StoreC,NORMAL,The amount $53.09 is typical for normal spending behavior.
9901,195.49,StoreC,NORMAL,The amount $195.49 is typical for normal spending behavior.
6319,174.87,StoreB,NORMAL,The amount $174.87 is typical for normal spending behavior.
7609,81.85,StoreC,NORMAL,The amount $81.85 is typical for normal spending behavior.
6387,77.27,StoreB,NORMAL,The amount $77.27 is typical for normal spending behavior.
4993,77.51,StoreC,NORMAL,The amount $77.51 is typical for normal spending behavior.
9680,95.64,StoreC,NORMAL,The amount $95.64 is typical for normal spending behavior.
9044,128.71,StoreA,NORMAL,The amount $128.71 is typical for normal spending behavior.
9238,114.79,StoreB,NORMAL,The amount $114.79 is typical for normal spending behavior.
5873,93.68,StoreA,NORMAL,The amount $93.68 is typical for normal spending behavior.
5806,141.78,StoreA,NORMAL,The amount $141.78 is typical for normal spending behavior.
9592,70.92,StoreA,NORMAL,The amount $70.92 is typical for normal spending behavior.
6913,93.82,StoreB,NORMAL,The amount $93.82 is typical for normal spending behavior.
8124,104.95,StoreB,NORMAL,The amount $104.95 is typical for normal spending behavior.
4157,118.41,StoreC,NORMAL,The amount $118.41 is typical for normal spending behavior.
1390,167.78,StoreA,NORMAL,The amount $167.78 is typical for normal spending behavior.
5430,79.95,StoreC,NORMAL,The amount $79.95 is typical for normal spending behavior.
9820,127.14,StoreA,NORMAL,The amount $127.14 is typical for normal spending behavior.
8686,138.86,StoreB,NORMAL,The amount $138.86 is typical for normal spending behavior.
5232,56.97,StoreB,NORMAL,The amount $56.97 is typical for normal spending behavior.
9007,141.13,StoreB,NORMAL,The amount $141.13 is typical for normal spending behavior.
2521,75.58,StoreA,NORMAL,The amount $75.58 is typical for normal spending behavior.
2500,59.76,StoreB,NORMAL,The amount $59.76 is typical for normal spending behavior.
7737,192.33,StoreA,NORMAL,The amount $192.33 is typical for normal spending behavior.
4294,194.84,StoreC,NORMAL,The amount $194.84 is typical for normal spending behavior.
6085,171.26,StoreA,NORMAL,The amount $171.26 is typical for normal spending behavior.
3419,95.69,StoreC,NORMAL,The amount $95.69 is typical for normal spending behavior.
4042,64.65,StoreA,NORMAL,The amount $64.65 is typical for normal spending behavior.
5497,152.63,StoreC,NORMAL,The amount $152.63 is typical for normal spending behavior.
2466,116.02,StoreB,NORMAL,The amount $116.02 is typical for normal spending behavior.
4561,68.31,StoreC,NORMAL,The amount $68.31 is typical for normal spending behavior.
1614,124.28,StoreB,NORMAL,The amount $124.28 is typical for normal spending behavior.
6392,55.16,StoreB,NORMAL,The amount $55.16 is typical for normal spending behavior.
8693,186.4,StoreC,NORMAL,The amount $186.4 is typical for normal spending behavior.
4223,88.82,StoreA,NORMAL,The amount $88.82 is typical for normal spending behavior.
8138,149.38,StoreA,NORMAL,The amount $149.38 is typical for normal spending behavior.
3667,96.76,StoreA,NORMAL,The amount $96.76 is typical for normal spending behavior.
8980,128.01,StoreA,NORMAL,The amount $128.01 is typical for normal spending behavior.
1130,132.01,StoreA,NORMAL,The amount $132.01 is typical for normal spending behavior.
3983,77.73,StoreB,NORMAL,The amount $77.73 is typical for normal spending behavior.
5278,195.44,StoreA,NORMAL,The amount $195.44 is typical for normal spending behavior.
8126,166.27,StoreB,NORMAL,The amount $166.27 is typical for normal spending behavior.
9230,190.92,StoreB,NORMAL,The amount $190.92 is typical for normal spending behavior.
8694,184.22,StoreB,NORMAL,The amount $184.22 is typical for normal spending behavior.
7640,139.68,StoreC,NORMAL,The amount $139.68 is typical for normal spending behavior.
6468,188.28,StoreC,NORMAL,The amount $188.28 is typical for normal spending behavior.
1920,63.27,StoreB,NORMAL,The amount $63.27 is typical for normal spending behavior.
8564,79.4,StoreC,NORMAL,The amount $79.4 is typical for normal spending behavior.
9684,56.78,StoreA,NORMAL,The amount $56.78 is typical for normal spending behavior.
9502,98.8,StoreA,NORMAL,The amount $98.8 is typical for normal spending behavior.
9930,108.3,StoreB,NORMAL,The amount $108.3 is typical for normal spending behavior.
4241,90.7,StoreA,NORMAL,The amount $90.7 is typical for normal spending behavior.
1545,174.31,StoreB,NORMAL,The amount $174.31 is typical for normal spending behavior.
5346,103.51,StoreB,NORMAL,The amount $103.51 is typical for normal spending behavior.
4810,92.14,StoreA,NORMAL,The amount $92.14 is typical for normal spending behavior.
8206,131.4,StoreC,NORMAL,The amount $131.4 is typical for normal spending behavior.
3032,71.14,StoreA,NORMAL,The amount $71.14 is typical for normal spending behavior.
9436,170.33,StoreA,NORMAL,The amount $170.33 is typical for normal spending behavior.
1271,61.18,StoreB,NORMAL,The amount $61.18 is typical for normal spending behavior.
4511,198.03,StoreB,NORMAL,The amount $198.03 is typical for normal spending behavior.
2771,165.84,StoreB,NORMAL,The amount $165.84 is typical for normal spending behavior.
5361,79.81,StoreB,NORMAL,The amount $79.81 is typical for normal spending behavior.
8069,50.83,StoreC,NORMAL,The amount $50.83 is typical for normal spending behavior.
1920,172.32,StoreC,NORMAL,The amount $172.32 is typical for normal spending behavior.
9190,156.03,StoreC,NORMAL,The amount $156.03 is typical for normal spending behavior.
4430,159.35,StoreB,NORMAL,The amount $159.35 is typical for normal spending behavior.
5435,165.69,StoreB,NORMAL,The amount $165.69 is typical for normal spending behavior.
4760,61.11,StoreB,NORMAL,The amount $61.11 is typical for normal spending behavior.
3050,103.77,StoreC,NORMAL,The amount $103.77 is typical for normal spending behavior.
2165,67.38,StoreB,NORMAL,The amount $67.38 is typical for normal spending behavior.
9567,179.47,StoreA,NORMAL,The amount $179.47 is typical for normal spending behavior.
3033,143.49,StoreA,NORMAL,The amount $143.49 is typical for normal spending behavior.
7467,99.63,StoreB,NORMAL,The amount $99.63 is typical for normal spending behavior.
1145,59.53,StoreA,NORMAL,The amount $59.53 is typical for normal spending behavior.
5388,96.65,StoreA,NORMAL,The amount $96.65 is typical for normal spending behavior.
