user_id,amount,location,time_of_day
1102,80.57,StoreB,evening
1435,80.6,StoreA,afternoon
1860,98.77,StoreB,evening
1270,69.68,StoreB,morning
1106,1966.08,StoreB,evening
1071,70.75,StoreC,afternoon
1700,71.31,StoreB,evening
1020,73.82,StoreC,morning
1614,84.44,StoreA,afternoon
1121,70.43,StoreA,evening
1466,105.12,StoreC,afternoon
1214,62.11,StoreC,afternoon
1330,76.26,StoreC,afternoon
1458,71.21,StoreB,evening
1087,108.94,StoreA,afternoon
1372,83.93,StoreC,evening
1099,100.64,StoreB,morning
1871,50.29,StoreA,evening
1663,85.34,StoreB,morning
1130,97.79,StoreA,evening
1661,81.65,StoreB,afternoon
1308,101.31,StoreA,evening
1769,69.65,StoreA,afternoon
1343,108.19,StoreB,morning
1491,125.98,StoreC,evening
1413,72.74,StoreA,afternoon
1805,71.09,StoreC,morning
1385,109.07,StoreB,morning
1191,111.59,StoreC,evening
1955,69.54,StoreC,morning
1276,71.6,StoreC,afternoon
1160,74.36,StoreC,morning
1459,53.11,StoreC,morning
1313,1479.1200000000001,StoreA,afternoon
1021,59.92,StoreA,morning
1252,1551.3600000000001,StoreA,morning
1747,79.31,StoreB,morning
1856,84.68,StoreC,morning
1560,111.01,StoreA,afternoon
1474,1440.72,StoreB,morning
1058,99.69,StoreA,afternoon
1510,75.72,StoreA,morning
1681,79.01,StoreC,morning
1475,93.5,StoreB,morning
1699,57.55,StoreC,morning
1975,87.65,StoreC,afternoon
1782,83.33,StoreA,afternoon
1189,89.85,StoreC,afternoon
1957,85.78,StoreB,evening
1686,129.11,StoreC,morning
1957,67.25,StoreC,morning
1562,69.38,StoreC,afternoon
1875,67.54,StoreA,evening
1566,68.89,StoreB,morning
1243,67.25,StoreA,afternoon
1831,103.78,StoreA,morning
1504,108.41,StoreA,morning
1130,68.59,StoreA,afternoon
1484,63.35,StoreA,afternoon
1818,89.43,StoreB,morning
1646,68.96,StoreC,morning
1020,92.66,StoreA,afternoon
1840,84.06,StoreA,morning
1166,49.69,StoreB,morning
1273,110.95,StoreB,afternoon
1387,115.92,StoreC,morning
1600,67.74,StoreB,morning
1315,72.25,StoreC,evening
1013,85.72,StoreA,afternoon
1241,86.69,StoreA,evening
1776,93.17,StoreC,evening
1345,120.2,StoreB,evening
1564,76.46,StoreC,morning
1897,64.03,StoreB,morning
1339,52.41,StoreA,evening
1091,65.38,StoreB,evening
1366,79.34,StoreC,evening
1955,115.89,StoreC,morning
1454,69.65,StoreA,evening
1427,84.48,StoreB,evening
1508,79.67,StoreB,afternoon
1775,103.77,StoreB,afternoon
1942,130.54,StoreA,morning
1034,69.38,StoreB,afternoon
1205,70.21,StoreC,afternoon
1080,100.88,StoreB,afternoon
1931,93.64,StoreA,morning
1561,116.93,StoreB,afternoon
1871,91.68,StoreB,morning
1387,72.81,StoreC,evening
1001,91.81,StoreB,afternoon
1389,102.17,StoreC,morning
1565,96.41,StoreC,afternoon
1105,90.15,StoreA,evening
1771,101.33,StoreC,morning
1821,103.39,StoreC,morning
1476,107.64,StoreA,morning
1702,92.97,StoreC,evening
1401,76.66,StoreA,evening
1729,82.93,StoreB,evening
1555,104.13,StoreA,morning
1161,63.66,StoreC,evening
1201,87.37,StoreA,afternoon
1957,72.13,StoreC,evening
1995,80.57,StoreB,morning
1269,105.57,StoreA,afternoon
1862,83.82,StoreB,evening
1815,80.93,StoreC,afternoon
1270,52.8,StoreC,afternoon
1455,94.93,StoreB,morning
1461,92.91,StoreA,afternoon
1726,123.27,StoreA,afternoon
1251,73.84,StoreC,morning
1701,84.38,StoreB,morning
1295,84.99,StoreB,morning
1724,111.55,StoreA,afternoon
1719,78.09,StoreA,afternoon
1748,85.58,StoreA,afternoon
1337,92.16,StoreB,morning
1878,83.73,StoreA,evening
1052,71.07,StoreA,afternoon
1791,83.88,StoreC,evening
1921,101.47,StoreA,morning
1216,59.47,StoreA,afternoon
1763,82.66,StoreB,evening
1187,66.0,StoreB,afternoon
1379,103.9,StoreC,afternoon
1492,49.54,StoreA,afternoon
1040,68.82,StoreC,evening
1156,87.54,StoreB,morning
1014,111.31,StoreC,afternoon
1812,78.68,StoreB,morning
1064,68.9,StoreC,morning
1856,117.62,StoreC,evening
1838,51.04,StoreA,evening
1520,36.02,StoreC,morning
1343,88.8,StoreA,afternoon
1128,69.96,StoreA,evening
1647,59.58,StoreA,afternoon
1471,94.17,StoreA,afternoon
1062,84.88,StoreC,afternoon
1138,68.72,StoreB,morning
1498,54.39,StoreB,afternoon
1592,97.45,StoreB,morning
1391,93.0,StoreC,morning
1674,78.02,StoreA,afternoon
1418,116.93,StoreB,afternoon
1288,58.6,StoreC,afternoon
1378,49.49,StoreA,afternoon
1772,66.16,StoreB,morning
1489,79.09,StoreA,afternoon
1230,84.87,StoreB,afternoon
1040,1804.3200000000002,StoreB,morning
1027,87.04,StoreB,evening
1134,54.97,StoreA,evening
1200,108.88,StoreC,morning
1839,78.36,StoreA,evening
1779,102.35,StoreB,morning
1929,86.85,StoreA,afternoon
1032,89.14,StoreC,afternoon
1047,91.4,StoreA,evening
1502,88.95,StoreC,afternoon
1406,92.85,StoreC,evening
1573,106.58,StoreA,evening
1727,83.93,StoreB,afternoon
1804,94.18,StoreC,afternoon
1098,78.21,StoreA,evening
1683,108.8,StoreC,afternoon
1871,66.47,StoreB,morning
1725,116.02,StoreA,afternoon
1986,79.2,StoreA,afternoon
1546,51.38,StoreA,morning
1960,82.56,StoreB,afternoon
1738,66.38,StoreC,afternoon
1612,96.81,StoreA,evening
1942,66.95,StoreC,afternoon
1461,71.08,StoreC,afternoon
1642,42.21,StoreB,morning
1768,1702.8000000000002,StoreA,evening
1004,31.52,StoreC,evening
1217,48.32,StoreA,evening
1502,95.21,StoreA,afternoon
1766,95.72,StoreB,evening
1397,88.51,StoreA,morning
1870,60.66,StoreA,evening
1794,79.05,StoreC,morning
1392,79.93,StoreB,evening
1206,56.83,StoreA,evening
1014,110.07,StoreC,morning
1857,97.55,StoreB,evening
1553,75.58,StoreB,evening
1891,80.54,StoreC,evening
1460,84.17,StoreC,afternoon
1690,39.17,StoreC,morning
1574,75.06,StoreC,evening
1863,66.36,StoreC,morning
1742,59.97,StoreA,morning
1240,74.38,StoreA,morning
1563,115.95,StoreB,evening
1095,92.82,StoreA,evening
1899,68.58,StoreA,morning
1733,91.45,StoreA,afternoon
1484,107.99,StoreC,morning
1406,98.49,StoreB,afternoon
1230,81.19,StoreB,morning
1748,67.06,StoreB,morning
1654,93.96,StoreB,morning
1170,87.87,StoreA,evening
1540,97.9,StoreA,afternoon
1035,92.7,StoreC,afternoon
1524,100.99,StoreB,morning
1159,69.3,StoreA,evening
1838,106.35,StoreA,evening
1698,83.95,StoreC,afternoon
1242,121.51,StoreC,evening
1085,66.22,StoreC,afternoon
1795,114.72,StoreA,afternoon
1577,83.96,StoreA,afternoon
1681,66.97,StoreC,evening
1556,1687.6799999999998,StoreB,afternoon
1573,73.59,StoreC,afternoon
1952,88.48,StoreC,morning
1645,90.46,StoreC,afternoon
1795,68.53,StoreC,afternoon
1027,79.51,StoreA,morning
1619,122.85,StoreB,morning
1555,114.55,StoreC,evening
1339,88.73,StoreB,afternoon
1797,80.76,StoreB,evening
1957,82.4,StoreB,evening
1330,92.27,StoreC,morning
1639,59.54,StoreA,evening
1505,74.85,StoreC,afternoon
1347,46.63,StoreB,morning
1472,87.98,StoreB,afternoon
1230,92.94,StoreA,afternoon
1189,70.34,StoreC,morning
1224,111.48,StoreB,afternoon
1384,55.48,StoreA,morning
1376,50.71,StoreB,afternoon
1282,84.49,StoreA,morning
1957,100.94,StoreA,evening
1632,113.68,StoreC,afternoon
1627,70.82,StoreB,morning
1972,101.57,StoreC,afternoon
1744,79.23,StoreB,afternoon
1258,76.55,StoreC,afternoon
1358,97.67,StoreB,morning
1709,93.05,StoreC,evening
1455,48.47,StoreA,evening
1410,109.53,StoreB,evening
1648,107.6,StoreB,morning
1317,67.49,StoreA,evening
1676,87.92,StoreC,morning
1224,89.88,StoreB,afternoon
1818,85.21,StoreB,afternoon
1233,68.99,StoreC,evening
1683,66.57,StoreA,morning
1663,79.49,StoreC,afternoon
1974,103.45,StoreC,morning
1826,90.87,StoreC,morning
1373,72.59,StoreB,afternoon
1671,95.43,StoreA,morning
1607,23.03,StoreA,afternoon
1471,102.98,StoreC,afternoon
1232,45.21,StoreB,afternoon
1691,72.75,StoreC,morning
1112,57.61,StoreB,afternoon
1829,54.11,StoreB,morning
1496,103.22,StoreB,afternoon
1441,70.65,StoreB,afternoon
1563,86.93,StoreA,evening
1267,79.06,StoreB,evening
1509,89.54,StoreB,evening
1806,81.54,StoreC,morning
1385,54.34,StoreC,morning
1386,99.93,StoreA,afternoon
1112,70.12,StoreC,afternoon
1612,48.87,StoreB,afternoon
1624,71.44,StoreC,afternoon
1951,110.02,StoreA,morning
1080,97.0,StoreC,afternoon
1698,73.03,StoreC,afternoon
1112,73.01,StoreA,evening
1001,73.57,StoreA,afternoon
1641,121.53,StoreB,afternoon
1219,87.64,StoreC,afternoon
1565,88.6,StoreB,morning
1854,100.61,StoreC,evening
1996,84.78,StoreC,afternoon
1735,74.82,StoreB,afternoon
1224,76.07,StoreC,evening
1384,78.57,StoreC,afternoon
1402,79.26,StoreC,morning
1637,94.55,StoreA,afternoon
1129,81.04,StoreB,morning
1052,94.65,StoreA,morning
1683,78.39,StoreB,afternoon
1729,81.57,StoreB,evening
1671,40.04,StoreC,morning
1709,98.33,StoreB,evening
1415,86.93,StoreA,afternoon
1246,99.96,StoreA,morning
1835,22.07,StoreA,afternoon
1438,121.77,StoreB,evening
1202,77.21,StoreA,afternoon
1183,102.16,StoreB,afternoon
1122,59.2,StoreA,morning
1400,92.26,StoreA,afternoon
1766,58.93,StoreB,afternoon
1293,67.52,StoreA,afternoon
1279,2838.7200000000003,StoreC,morning
1836,76.19,StoreB,evening
1883,84.35,StoreB,evening
1609,97.4,StoreB,afternoon
1197,89.91,StoreC,morning
1981,83.01,StoreB,afternoon
1906,87.3,StoreA,evening
1510,128.07,StoreA,morning
1751,78.85,StoreA,evening
1143,84.02,StoreB,evening
1608,101.01,StoreA,morning
1200,102.11,StoreB,morning
1123,103.74,StoreA,afternoon
1186,92.77,StoreC,afternoon
1325,57.14,StoreC,evening
1463,112.67,StoreC,morning
1348,57.07,StoreC,morning
1770,86.05,StoreB,afternoon
1659,64.91,StoreA,evening
1763,78.72,StoreC,evening
1954,86.58,StoreB,afternoon
1931,86.43,StoreC,morning
1402,88.44,StoreC,afternoon
1345,112.27,StoreB,afternoon
1962,89.07,StoreB,afternoon
1510,75.12,StoreA,afternoon
1146,99.28,StoreA,morning
1147,103.79,StoreC,afternoon
1863,55.45,StoreC,morning
1710,91.95,StoreA,afternoon
1819,94.02,StoreA,evening
1488,74.05,StoreB,morning
1928,107.51,StoreA,evening
1935,77.0,StoreA,afternoon
1639,82.51,StoreC,afternoon
1550,76.54,StoreA,afternoon
1337,80.31,StoreC,morning
1871,58.07,StoreA,evening
1640,51.2,StoreB,morning
1778,111.89,StoreA,morning
1987,63.06,StoreA,afternoon
1952,60.17,StoreA,evening
1472,36.93,StoreC,afternoon
1945,67.22,StoreB,morning
1150,53.54,StoreA,afternoon
1414,112.84,StoreC,evening
1989,100.2,StoreB,afternoon
1297,66.24,StoreC,evening
1610,125.05,StoreC,evening
1262,99.64,StoreB,afternoon
1763,73.5,StoreA,morning
1143,30.01,StoreC,afternoon
1345,125.82,StoreC,morning
1623,52.21,StoreA,morning
1571,47.09,StoreA,afternoon
