user_id,amount,location,label,explanation
1031,7245.78,StoreB,ANOMALY,The amount $7245.78 is unusually high compared to typical spending.
2774,181.88,StoreC,NORMAL,The amount $181.88 is typical for general spending behavior.
2210,270.43,RareStoreX,ANOMALY,The location 'RareStoreX' is unusual compared to common transaction locations.
2626,288.07,StoreB,NORMAL,The amount $288.07 is typical for general spending behavior.
1582,155.99,StoreB,NORMAL,The amount $155.99 is typical for general spending behavior.
2793,257.73,StoreA,NORMAL,The amount $257.73 is typical for general spending behavior.
4771,184.77,StoreA,NORMAL,The amount $184.77 is typical for general spending behavior.
6476,280.47,StoreC,NORMAL,The amount $280.47 is typical for general spending behavior.
3550,10.86,StoreA,NORMAL,The amount $10.86 is typical for general spending behavior.
4435,245.58,StoreB,NORMAL,The amount $245.58 is typical for general spending behavior.
6577,4893.51,StoreC,ANOMALY,The amount $4893.51 is unusually high compared to typical spending.
2846,7918.92,StoreB,ANOMALY,The amount $7918.92 is unusually high compared to typical spending.
9527,6427.47,StoreC,ANOMALY,The amount $6427.47 is unusually high compared to typical spending.
7655,157.74,StoreC,NORMAL,The amount $157.74 is typical for general spending behavior.
5938,189.77,StoreC,NORMAL,The amount $189.77 is typical for general spending behavior.
3206,112.67,StoreB,NORMAL,The amount $112.67 is typical for general spending behavior.
5133,198.07,StoreB,NORMAL,The amount $198.07 is typical for general spending behavior.
1224,237.72,StoreC,NORMAL,The amount $237.72 is typical for general spending behavior.
9983,132.54,StoreC,NORMAL,The amount $132.54 is typical for general spending behavior.
8086,167.87,StoreA,NORMAL,The amount $167.87 is typical for normal spending and does not indicate suspicious behavior.
1690,234.55,StoreA,NORMAL,The amount $234.55 is typical for general spending behavior.
3939,291.72,StoreC,NORMAL,The amount $291.72 is typical for general spending behavior.
5541,161.17,StoreA,NORMAL,The amount $161.17 is typical for general spending behavior.
4648,123.1,OutlierMallY,ANOMALY,The location 'OutlierMallY' is unusual compared to common transaction locations.
2245,318.53,StoreC,NORMAL,The amount $318.53 is typical for general spending behavior.
8710,4200.25,StoreB,ANOMALY,The amount $4200.25 is unusually high compared to typical spending.
8226,161.67,StoreB,NORMAL,The amount $161.67 is typical for general spending behavior.
2298,192.11,StoreA,NORMAL,The amount $192.11 is typical for general spending behavior.
2686,233.92,RareStoreX,ANOMALY,The location 'RareStoreX' is unusual compared to common transaction locations.
3837,136.98,StoreA,NORMAL,The amount $136.98 is typical for general spending behavior.
1550,154.1,StoreC,NORMAL,The amount $154.1 is typical for general spending behavior.
5118,4.67,StoreB,ANOMALY,The amount $4.67 is extremely small and may indicate refund fraud or abnormal activity.
6257,334.71,StoreC,NORMAL,The amount $334.71 is typical for general spending behavior.
1453,133.96,StoreC,NORMAL,The amount $133.96 is typical for general spending behavior.
8432,180.7,StoreB,NORMAL,The amount $180.7 is typical for general spending behavior.
3050,319.74,StoreC,NORMAL,The amount $319.74 is typical for general spending behavior.
6854,252.96,StoreA,NORMAL,The amount $252.96 is typical for general spending behavior.
5228,116.42,StoreC,NORMAL,The amount $116.42 is typical for general spending behavior.
5916,42.52,StoreB,NORMAL,The amount $42.52 is typical for general spending behavior.
6024,3152.65,StoreB,ANOMALY,The amount $3152.65 is unusually high compared to typical spending.
2443,369.4,RareStoreX,ANOMALY,The location 'RareStoreX' is unusual compared to common transaction locations.
2906,205.58,StoreC,NORMAL,The amount $205.58 is typical for general spending behavior.
2369,220.25,StoreB,NORMAL,The amount $220.25 is typical for general spending behavior.
6375,3479.1,StoreB,ANOMALY,The amount $3479.1 is unusually high compared to typical spending.
1565,311.4,StoreA,NORMAL,The amount $311.4 is typical for general spending behavior.
8169,243.4,StoreC,NORMAL,The amount $243.4 is typical for general spending behavior.
7790,4324.98,StoreC,ANOMALY,The amount $4324.98 is unusually high compared to typical spending.
4284,146.27,StoreB,NORMAL,The amount $146.27 is typical for general spending behavior.
7986,222.14,StoreB,NORMAL,The amount $222.14 is typical for general spending behavior.
7450,149.66,StoreC,NORMAL,The amount $149.66 is typical for general spending behavior.
9401,163.02,StoreA,NORMAL,The amount $163.02 is typical for general spending behavior.
6615,309.13,StoreA,NORMAL,The amount $309.13 is typical for general spending behavior.
3498,5021.49,StoreA,ANOMALY,The amount $5021.49 is unusually high compared to typical spending.
7121,347.74,StoreB,NORMAL,The amount $347.74 is typical for general spending behavior.
4973,223.73,StoreC,NORMAL,The amount $223.73 is typical for general spending behavior.
4237,224.9,StoreA,NORMAL,The amount $224.9 is typical for general spending behavior.
9307,6760.65,StoreA,ANOMALY,The amount $6760.65 is unusually high compared to typical spending.
7055,275.29,StoreB,NORMAL,The amount $275.29 is typical for general spending behavior.
3017,87.4,StoreB,NORMAL,The amount $87.4 is typical for general spending behavior.
9515,186.39,StoreA,NORMAL,The amount $186.39 is typical for general spending behavior.
5677,134.13,OutlierMallY,ANOMALY,The location 'OutlierMallY' is unusual compared to common transaction locations.
8919,22.65,StoreB,NORMAL,The amount $22.65 is typical for general spending behavior.
4974,159.83,OutlierMallY,ANOMALY,The location 'OutlierMallY' is unusual compared to common transaction locations.
6062,162.96,StoreC,NORMAL,The amount $162.96 is typical for general spending behavior.
9691,190.18,StoreB,NORMAL,The amount $190.18 is typical for general spending behavior.
5473,206.73,StoreC,NORMAL,The amount $206.73 is typical for general spending behavior.
5617,212.84,StoreA,NORMAL,The amount $212.84 is typical for general spending behavior.
9953,202.03,StoreC,NORMAL,The amount $202.03 is typical for general spending behavior.
2567,6173.03,StoreB,ANOMALY,The amount $6173.03 is unusually high compared to typical spending.
6782,205.14,StoreC,NORMAL,The amount $205.14 is typical for general spending behavior.
5480,197.02,StoreC,NORMAL,The amount $197.02 is typical for general spending behavior.
4218,240.07,StoreB,NORMAL,The amount $240.07 is typical for general spending behavior.
9349,5668.95,StoreA,ANOMALY,The amount $5668.95 is unusually high compared to typical spending.
9855,190.26,StoreB,NORMAL,The amount $190.26 is typical for general spending behavior.
5889,363.37,StoreA,NORMAL,The amount $363.37 is typical for general spending behavior.
7692,2.52,StoreA,ANOMALY,The amount $2.52 is extremely small and may indicate refund fraud or abnormal activity.
3114,119.83,StoreA,NORMAL,The amount $119.83 is typical for general spending behavior.
3914,217.12,StoreB,NORMAL,The amount $217.12 is typical for general spending behavior.
4759,335.95,StoreA,NORMAL,The amount $335.95 is typical for general spending behavior.
3976,124.97,StoreB,NORMAL,The amount $124.97 is typical for general spending behavior.
4615,2322.66,StoreB,ANOMALY,The amount $2322.66 is unusually high compared to typical spending.
2499,233.72,StoreA,NORMAL,The amount $233.72 is typical for general spending behavior.
2458,5620.07,StoreC,ANOMALY,The amount $5620.07 is unusually high compared to typical spending.
6499,243.74,StoreC,NORMAL,The amount $243.74 is typical for general spending behavior.
6806,306.45,StoreC,NORMAL,The amount $306.45 is typical for general spending behavior.
8600,229.38,StoreB,NORMAL,The amount $229.38 is typical for general spending behavior.
7875,144.43,StoreB,NORMAL,The amount $144.43 is typical for general spending behavior.
3212,2192.97,StoreB,ANOMALY,The amount $2192.97 is unusually high compared to typical spending.
1754,2.45,StoreC,ANOMALY,The amount $2.45 is extremely small and may indicate refund fraud or abnormal activity.
8461,160.31,StoreB,NORMAL,The amount $160.31 is typical for normal spending and does not indicate suspicious behavior.
4400,158.59,StoreA,NORMAL,The amount $158.59 is typical for general spending behavior.
1613,346.37,StoreB,NORMAL,The amount $346.37 is typical for general spending behavior.
3098,305.39,StoreA,NORMAL,The amount $305.39 is typical for general spending behavior.
2666,220.43,StoreA,NORMAL,The amount $220.43 is typical for general spending behavior.
8972,198.84,StoreA,NORMAL,The amount $198.84 is typical for general spending behavior.
3072,122.75,StoreC,NORMAL,The amount $122.75 is typical for general spending behavior.
3565,3141.82,StoreC,ANOMALY,The amount $3141.82 is unusually high compared to typical spending.
2238,151.98,StoreB,NORMAL,The amount $151.98 is typical for general spending behavior.
2515,217.23,StoreC,NORMAL,The amount $217.23 is typical for general spending behavior.
7854,198.89,StoreB,NORMAL,The amount $198.89 is typical for general spending behavior.
7300,100.21,StoreC,NORMAL,The amount $100.21 is typical for normal spending and does not indicate suspicious behavior.
1864,291.9,StoreB,NORMAL,The amount $291.9 is typical for general spending behavior.
5568,206.6,StoreA,NORMAL,The amount $206.6 is typical for general spending behavior.
9624,153.85,StoreB,NORMAL,The amount $153.85 is typical for general spending behavior.
7461,242.74,OutlierMallY,ANOMALY,The location 'OutlierMallY' is unusual compared to common transaction locations.
8262,163.98,StoreA,NORMAL,The amount $163.98 is typical for general spending behavior.
9265,344.74,StoreC,NORMAL,The amount $344.74 is typical for general spending behavior.
