user_id,amount,location,label,explanation
6298,249.67,StoreC,NORMAL,The amount $249.67 is within the normal spending range.
8017,186.17,StoreC,NORMAL,The amount $186.17 is within the normal spending range.
8771,264.77,StoreC,NORMAL,The amount $264.77 is within the normal spending range.
9567,352.3,StoreC,NORMAL,The amount $352.3 is within the normal spending range.
9915,176.58,StoreA,NORMAL,The amount $176.58 is within the normal spending range.
2913,176.59,StoreB,NORMAL,The amount $176.59 is within the normal spending range.
5297,357.92,StoreA,NORMAL,The amount $357.92 is within the normal spending range.
2942,276.74,StoreA,NORMAL,The amount $276.74 is within the normal spending range.
5004,153.05,StoreB,NORMAL,The amount $153.05 is within the normal spending range.
2331,254.26,StoreB,NORMAL,The amount $254.26 is within the normal spending range.
8890,153.66,StoreA,NORMAL,The amount $153.66 is within the normal spending range.
5588,153.43,StoreC,NORMAL,The amount $153.43 is within the normal spending range.
1337,224.2,StoreB,NORMAL,The amount $224.2 is within the normal spending range.
8066,8.67,StoreB,NORMAL,The amount $8.67 is within the normal spending range.
8813,27.51,StoreA,NORMAL,The amount $27.51 is within the normal spending range.
9983,143.77,StoreC,NORMAL,The amount $143.77 is within the normal spending range.
4611,98.72,StoreB,NORMAL,The amount $98.72 is within the normal spending range.
4700,231.42,StoreA,NORMAL,The amount $231.42 is within the normal spending range.
7118,109.2,StoreB,NORMAL,The amount $109.2 is within the normal spending range.
8105,58.77,StoreC,NORMAL,The amount $58.77 is within the normal spending range.
3673,346.56,StoreA,NORMAL,The amount $346.56 is within the normal spending range.
3122,177.42,StoreA,NORMAL,The amount $177.42 is within the normal spending range.
8082,206.75,StoreC,NORMAL,The amount $206.75 is within the normal spending range.
9250,57.53,StoreA,NORMAL,The amount $57.53 is within the normal spending range.
3062,145.56,StoreC,NORMAL,The amount $145.56 is within the normal spending range.
2254,211.09,StoreA,NORMAL,The amount $211.09 is within the normal spending range.
4688,84.9,StoreC,NORMAL,The amount $84.9 is within the normal spending range.
4748,237.57,StoreB,NORMAL,The amount $237.57 is within the normal spending range.
7342,139.94,StoreB,NORMAL,The amount $139.94 is within the normal spending range.
5130,170.83,StoreB,NORMAL,The amount $170.83 is within the normal spending range.
5257,139.83,StoreA,NORMAL,The amount $139.83 is within the normal spending range.
4029,3900.16,StoreC,ANOMALY,The amount $3900.16 is 7.86 standard deviations above the mean.
3846,198.65,StoreC,NORMAL,The amount $198.65 is within the normal spending range.
9662,94.23,StoreB,NORMAL,The amount $94.23 is within the normal spending range.
5035,282.25,StoreB,NORMAL,The amount $282.25 is within the normal spending range.
3899,77.92,StoreB,NORMAL,The amount $77.92 is within the normal spending range.
5443,220.89,StoreC,NORMAL,The amount $220.89 is within the normal spending range.
5789,4.03,StoreB,NORMAL,The amount $4.03 is within the normal spending range.
1912,67.18,StoreA,NORMAL,The amount $67.18 is within the normal spending range.
5242,219.69,StoreB,NORMAL,The amount $219.69 is within the normal spending range.
8541,273.85,StoreB,NORMAL,The amount $273.85 is within the normal spending range.
2711,217.14,StoreC,NORMAL,The amount $217.14 is within the normal spending range.
9866,188.44,StoreA,NORMAL,The amount $188.44 is within the normal spending range.
2439,169.89,StoreC,NORMAL,The amount $169.89 is within the normal spending range.
6613,52.15,StoreA,NORMAL,The amount $52.15 is within the normal spending range.
4630,128.02,StoreA,NORMAL,The amount $128.02 is within the normal spending range.
